issn,journal_name,oa_model,apc,file,year
2090-9896,The Journal of Basic and Applied Zoology,Open Access,300,Elsevier OA Price List 2016,2016
2095-3119,Journal of Integrative Agriculture,Hybrid,3000,Elsevier OA Price List 2017,2017
2095-4964,Journal of Integrative Medicine,Hybrid,3000,Elsevier OA Price List 2017,2017
2095-7718,Chinese Nursing Research,Open Access,0,Elsevier OA Price List 2017,2017
2171-2069,Revista Iberoamericana de Psicología y Salud,Open Access,0,Elsevier OA Price List 2016,2016
2171-3669,Imagen Diagnóstica,Hybrid,3000,Elsevier OA Price List 2017,2017
2171-9748,International Medical Review on Down Syndrome,Hybrid,3000,Elsevier OA Price List 2017,2017
2173-1268,The Spanish Review of Financial Economics,Hybrid,3000,Elsevier OA Price List 2017,2017
2173-5093,Endocrinología y nutrición (English Edition),Hybrid,3000,Elsevier OA Price List 2016,2016
2173-5115,Revista Portuguesa de Pneumologia (English Edition),Open Access,0,Elsevier OA Price List 2017,2017
2187-0764,Journal of Asian Ceramic Societies,Open Access,0,Elsevier OA Price List 2017,2017
2210-6545,Journal des Anti-infectieux,Hybrid,3000,Elsevier OA Price List 2017,2017
2210-7622,Perspectives in Vaccinology,Open Access,N/A,Elsevier OA Price List 2015,2015
2210-7843,Agriculture and Agricultural Science Procedia,Open Access,0,Elsevier OA Price List 2016,2016
2210-8033,Journal of Herbal Medicine,Hybrid,1700,Elsevier OA Price List 2017,2017
2210-8319,Journal of King Saud University - Languages and Translation,Open Access,N/A,Elsevier OA Price List 2015,2015
2210-8335,Journal of Clinical Gerontology and Geriatrics,Open Access,0,Elsevier OA Price List 2016,2016
2210-9099,Osong Public Health and Research Perspectives,Open Access,0,Elsevier OA Price List 2016,2016
2211-1220,Methods in Oceanography,Hybrid,2700,Elsevier OA Price List 2016,2016
2211-2839,Results in Immunology,Open Access,1500,Elsevier OA Price List 2017,2017
2211-2863,Results in Pharma Sciences,Open Access,1500,Elsevier OA Price List 2017,2017
